date,customer_id,segment,product_id,category,revenue,cost,profit
2024-01-04,1145,Standard,P3,Service,85.85,52.09,33.76
2024-01-05,1162,Basic,P3,Service,96.96,61.84,35.12
2024-01-07,1127,Basic,P3,Service,96.71,62.72,33.99
2024-01-08,1200,Premium,P3,Service,74.83,46.76,28.07
2024-01-09,1111,Basic,P3,Service,90.19,60.68,29.51
2024-01-20,1173,Premium,P3,Service,98.59,63.68,34.91
2024-01-22,1188,Standard,P3,Service,90.6,58.92,31.68
2024-01-22,1171,Standard,P3,Service,72.73,49.58,23.15
2024-01-28,1191,Premium,P3,Service,93.23,65.01,28.22
2024-01-29,1069,Standard,P3,Service,89.85,61.52,28.33
2024-02-02,1151,Premium,P3,Service,94.91,64.79,30.12
2024-02-03,1018,Standard,P3,Service,80.6,52.67,27.93
2024-02-04,1090,Premium,P3,Service,96.61,58.8,37.81
2024-02-08,1007,Premium,P3,Service,84.74,51.56,33.18
2024-02-08,1194,Standard,P3,Service,73.2,46.79,26.41
2024-02-15,1059,Standard,P3,Service,93.28,60.0,33.28
2024-02-16,1046,Premium,P3,Service,91.91,64.14,27.77
2024-02-19,1184,Premium,P3,Service,90.56,56.12,34.44
2024-02-24,1097,Premium,P3,Service,92.76,56.36,36.4
2024-02-28,1155,Standard,P3,Service,86.28,57.12,29.16
2024-02-28,1091,Standard,P3,Service,70.02,44.7,25.32
2024-02-29,1150,Premium,P3,Service,98.9,62.47,36.43
2024-02-29,1009,Premium,P3,Service,91.18,55.46,35.72
2024-03-01,1027,Premium,P3,Service,82.72,54.1,28.62
2024-03-02,1016,Standard,P3,Service,82.88,54.8,28.08
2024-03-08,1122,Standard,P3,Service,71.06,48.07,22.99
2024-03-08,1127,Basic,P3,Service,87.74,60.71,27.03
2024-03-15,1067,Standard,P3,Service,89.38,58.63,30.75
2024-03-31,1035,Basic,P3,Service,96.24,66.88,29.36
2024-04-04,1155,Standard,P3,Service,83.98,53.06,30.92
2024-04-11,1042,Basic,P3,Service,82.6,53.87,28.73
2024-04-17,1110,Standard,P3,Service,72.95,46.01,26.94
2024-04-17,1085,Standard,P3,Service,82.98,56.29,26.69
2024-04-17,1169,Standard,P3,Service,95.07,59.78,35.29
2024-04-19,1109,Premium,P3,Service,95.02,62.34,32.68
2024-04-27,1000,Standard,P3,Service,77.51,49.96,27.55
2024-04-27,1130,Standard,P3,Service,82.02,50.12,31.9
2024-04-28,1081,Standard,P3,Service,74.93,46.4,28.53
2024-04-29,1165,Basic,P3,Service,79.49,48.95,30.54
2024-05-02,1063,Basic,P3,Service,83.5,55.32,28.18
2024-05-02,1011,Premium,P3,Service,94.95,59.56,35.39
2024-05-11,1125,Premium,P3,Service,94.54,64.17,30.37
